Date,Open,High,Low,Close,Adj Close,Volume,Company,Year,Month,Day
2023-01-03,119.0,122.5,119.0,122.5,117.785713,1688380,3,2023,1,3
2023-01-04,122.5,122.5,121.0,122.0,117.304955,1214832,3,2023,1,4
2023-01-05,123.0,124.0,122.5,123.5,118.747231,2223376,3,2023,1,5
2023-01-06,123.5,124.5,123.0,124.0,119.227989,915155,3,2023,1,6
2023-01-09,125.0,126.0,124.5,126.0,121.151016,2305489,3,2023,1,9
2023-01-10,125.5,126.5,124.5,126.5,121.631775,2023221,3,2023,1,10
2023-01-11,127.0,127.0,125.0,125.5,120.670258,1301508,3,2023,1,11
2023-01-12,125.5,126.5,124.5,125.5,120.670258,1209358,3,2023,1,12
2023-01-13,126.0,127.0,125.0,125.5,120.670258,2053567,3,2023,1,13
2023-01-16,126.0,127.5,124.5,125.5,120.670258,2162267,3,2023,1,16
2023-01-17,126.0,128.5,125.0,127.5,122.593292,2867750,3,2023,1,17
2023-01-30,130.0,133.5,130.0,133.0,127.88163,5311964,3,2023,1,30
2023-01-31,132.0,134.5,129.0,131.0,125.958595,4824774,3,2023,1,31
2023-02-01,131.5,134.5,130.0,134.0,128.84314,4106102,3,2023,2,1
2023-02-02,134.0,134.0,131.5,133.0,127.88163,2807863,3,2023,2,2
2023-02-03,132.0,134.0,131.5,132.0,126.920113,2079523,3,2023,2,3
2023-02-06,131.5,135.0,131.5,132.5,127.400871,2646467,3,2023,2,6
2023-02-07,132.5,134.5,131.5,134.0,128.84314,2392375,3,2023,2,7
2023-02-08,134.5,135.0,132.5,132.5,127.400871,2727199,3,2023,2,8
2023-02-09,132.5,133.5,131.5,132.0,126.920113,2105166,3,2023,2,9
2023-02-10,131.0,131.5,128.5,128.5,123.55481,3500997,3,2023,2,10
2023-02-13,128.5,132.0,128.5,131.0,125.958595,2878796,3,2023,2,13
2023-02-14,131.5,133.5,131.0,133.0,127.88163,1499275,3,2023,2,14
2023-02-15,133.5,134.5,130.5,131.0,125.958595,1706198,3,2023,2,15
2023-02-16,132.0,136.0,132.0,135.5,130.285416,3048758,3,2023,2,16
2023-02-17,135.0,136.0,133.0,135.0,129.804657,1861591,3,2023,2,17
2023-02-20,135.0,136.0,134.0,134.5,129.323898,754447,3,2023,2,20
2023-02-21,135.0,135.5,134.5,135.0,129.804657,627891,3,2023,2,21
2023-02-22,133.5,137.5,133.0,136.5,131.246933,2844510,3,2023,2,22
2023-02-23,140.0,145.0,139.5,141.5,136.05452,7680676,3,2023,2,23
2023-02-24,143.0,144.0,136.5,137.0,131.727692,5850051,3,2023,2,24
2023-03-01,136.5,140.0,135.0,139.0,133.650726,2974173,3,2023,3,1
2023-03-02,140.0,140.5,136.0,139.0,133.650726,3877492,3,2023,3,2
2023-03-03,140.0,140.5,138.5,139.5,134.131485,978547,3,2023,3,3
2023-03-06,141.5,141.5,139.0,140.0,134.612244,1800070,3,2023,3,6
2023-03-07,139.5,141.5,139.5,141.0,135.573761,1401231,3,2023,3,7
